content,id,nickname,productColor,productId,productSize,score
刚开始拿在手上感觉比较轻，习惯了觉得很轻巧，大小刚刚好，挺顺手的，经典的直边边框手感不错，系统就不用说了，非常流畅，屏幕显示细腻，看着很舒服，夜景提升很大，拍出来的效果棒棒的，虽然电池容量不大，正常使用一天问题不大，充电觉得还可以接受10%充电20分钟可以冲到45%左右，没有电时应急一下赶时间这个速度还可以接受！,14991959962,jd幸福小猪-S,黑色,100009077483,256GB,5
"外形外观：外观回归直角，给女朋友买的她很喜欢。
屏幕音效：屏幕和12pro同款屏幕奈斯！音效苹果一直都是双立体音。
拍照效果：苹果的拍照不用说，还是那样丝滑流畅奈斯！
运行速度：A14  5** 奈斯
待机时间：待试用中，不过女生用一般都够了。",14828959242,jd_135942beo,白色,100009077483,256GB,5
"外形外观：一贯坚持简约而不简单的风格
屏幕音效：屏幕分辨率超高，音效立体
拍照效果：苹果的核心技术就是拍照的真实感和清晰度，真的秒杀别的手机！
运行速度：苹果自己的独立系统，基本不会出现卡顿和死机的情况，这也是一直买苹果手机的原因，可以说是快准狠
待机时间：还好吧，比起之前的系列有所提升！
其他特色：苹果12的蓝色真的比较惊艳，很喜欢！",15309308310,岚***b,蓝色,100009077483,128GB,5
"外形外观：苹果这次设计回归到方正设计，致敬经典，手感非常好，也很漂亮。
屏幕音效：OLED屏幕加持，显示效果色彩和对比度非常高，屏幕也做平了，摸着很舒服。
拍照效果：前后摄都支持夜间模式了，暗光下拍照也非常棒！12这次的摄像没让我失望哈。
运行速度：地表最强A14处理器，配合iOS不管是日常使用还是玩游戏都非常流畅，不卡顿！
待机时间：这次升级到了5G网络，A14（5纳米）整体功耗很低，但因为5G相对会减少一定到续航，但实际上使用还是非常耐电的，配合20瓦的快充无需担心电量。
其他特色：整体使用起来不错，还是很多亮点的，期待接下来的使用。",14870813259,151*****820_p,蓝色,100009077483,128GB,5
"外形外观：方方正正乔布斯的感觉 特喜欢黑色。大气上档次
屏幕音效：很赞
拍照效果：完美摄影单反同级别
运行速度：零卡顿 秒天秒地秒安卓
待机时间：避免不了一天一充
其他特色：5g 方正 尺寸完美 快充",14799119347,Z_wen聪,黑色,100009077483,64GB,5
16号预约第一批次抢到，今天早上八点钟京东准时处理订单。一看到货马上就去自提了，这次买的12，256G内存的。这下不用担心内存不够的问题了，颜色非常靓丽，机身非常轻薄，至于拍摄效果和运行体验那些晚上开箱后把旧手机资料转移过来再体验，体验后再追加评论，12是非常值得购买的一款手机。,14788025501,狂***吻,绿色,100009077483,256GB,5
"外形外观：2020款iPhone沿用了4和5的直角边框设计、拿在手里握持感很棒、（有的人会觉得硌手，其实带上保护壳非常舒服、况且手机厚度非常轻薄）大小合适刚刚好
屏幕音效：屏幕采用了全新的OLED屏幕显示效果比我XR提高太多了，还加入了全新杜比音效（音质效果非常出色，看电影很震撼）
拍照效果：拍照（虽然只有两个摄像头、但是夜拍效果还是非常不错、特别是这个超广角镜头，个人非常喜欢，拍人物风景都用的到）PS下面是在成都太古里拍摄样张照片（上传画质被压缩、大概看一下）
运行速度：全新A14处理器非常nice、我不太喜欢打游戏（男人过了25岁就应该放弃游戏，开启新的模式）所以呢！处理器对于我严重过剩吧、哈哈、128G装照片视频比较多
待机时间：待机时间你们懂的（相比上一代压缩了）我只敢用4G网络（5G手机呀&hellip;&hellip;",15015646850,麦卡杜的左手,白色,100009077483,128GB,5
"外形外观：今年的外观终于变了，直角的边框，非常的具有质感。
屏幕音效：屏幕很棒，看着非常舒服，音效也非常的好，看视频非常好。
拍照效果：除了鬼影，这个非常棒。
运行速度：一个字，就是快。
待机时间：很棒。",14954319333,爱听歌的Garfield,绿色,100009077483,128GB,5
"外形外观：蓝色的，打开一瞬间，确实很漂亮。
屏幕音效：音效很好，不错
拍照效果：5倍变焦，拍出来的效果不错，视频拍出来很稳
运行速度：新机，速度没的说，很快！
待机时间：新机82%电量/玩了很久还剩81%
其他特色：本来打算等等国产新机发售，还没发售，过段选择这款吧！对于我来说没有其他要求！24号预约付款，26号就到了，本来想着是下个月到也无所谓，没想到付款2天后就到了！挺快",14800975866,征鸿--,蓝色,100009077483,128GB,5
头一天拍下第二天早上就收到货。这次买的黑色苹果，觉得黑色最适合全屏手机了。黑色手机给小姐姐用也很炫酷，自己配的安克的充电器和线。nice！,14944738481,简***J,黑色,100009077483,128GB,5
